# time  ID  size  fromHost  toHost  TTL  isResponse
13917.0000 M219 810358 Beijing0 Sat13 300 N 
13917.0000 M220 782957 Beijing0 Sat24 300 N 
13917.0000 M221 618175 Beijing0 Sat35 300 N 
13917.0000 M222 947168 Beijing0 Sat46 300 N 
13917.0000 M223 689746 Beijing0 Sat57 300 N 
13917.0000 M224 601479 Beijing0 Sat68 300 N 
13917.0000 M225 905197 Kashi1 Beijing0 300 N 
13917.0000 M226 566837 Kashi1 Sanya2 300 N 
13917.0000 M227 530476 Kashi1 Sat13 300 N 
13917.0000 M228 837610 Kashi1 Sat24 300 N 
13917.0000 M229 522635 Kashi1 Sat35 300 N 
13917.0000 M230 749524 Kashi1 Sat46 300 N 
13917.0000 M231 584020 Kashi1 Sat57 300 N 
13917.0000 M232 562758 Kashi1 Sat68 300 N 
13917.0000 M233 720977 Sanya2 Beijing0 300 N 
13917.0000 M234 918779 Sanya2 Kashi1 300 N 
13917.0000 M235 732529 Sanya2 Sat13 300 N 
13917.0000 M236 999278 Sanya2 Sat24 300 N 
13917.0000 M237 686270 Sanya2 Sat35 300 N 
13917.0000 M238 948360 Sanya2 Sat46 300 N 
13917.0000 M239 975369 Sanya2 Sat57 300 N 
13917.0000 M240 874679 Sanya2 Sat68 300 N 
13917.0000 M241 640531 Sat13 Beijing0 300 N 
13917.0000 M242 586604 Sat13 Kashi1 300 N 
13917.0000 M243 600848 Sat13 Sanya2 300 N 
13917.0000 M244 964734 Sat13 Sat24 300 N 
13917.0000 M245 745934 Sat13 Sat35 300 N 
13917.0000 M246 575128 Sat13 Sat46 300 N 
13917.0000 M247 874890 Sat13 Sat57 300 N 
13917.0000 M248 570569 Sat13 Sat68 300 N 
13917.0000 M249 895682 Sat24 Beijing0 300 N 
13917.0000 M250 700052 Sat24 Kashi1 300 N 
13917.0000 M251 846462 Sat24 Sanya2 300 N 
13917.0000 M252 946950 Sat24 Sat13 300 N 
13917.0000 M253 679024 Sat24 Sat35 300 N 
13917.0000 M254 826254 Sat24 Sat46 300 N 
13917.0000 M255 558842 Sat24 Sat57 300 N 
